order_id,order_time,product_id,note_id,account_id,source_type,quantity,order_amount,order_status
order_000001,2026-07-06 22:00:00,prod_004,note_0001,acct_main_001,kol_coop,3,1052.72,completed
order_000002,2026-07-06 11:15:00,prod_004,note_0001,acct_main_001,kol_coop,3,1020.73,shipped
order_000003,2026-07-07 22:00:00,prod_004,note_0001,acct_main_001,kol_coop,1,309.02,shipped
order_000004,2026-07-07 12:45:00,prod_004,note_0001,acct_main_001,kol_coop,1,311.33,shipped
order_000005,2026-07-08 14:45:00,prod_004,note_0001,acct_main_001,kol_coop,1,329.37,completed
order_000006,2026-07-08 10:15:00,prod_004,note_0001,acct_main_001,kol_coop,2,700.05,shipped
order_000007,2026-07-08 21:30:00,prod_004,note_0001,acct_main_001,kol_coop,2,614.72,shipped
order_000008,2026-07-08 23:30:00,prod_004,note_0001,acct_main_001,kol_coop,1,333.51,shipped
order_000009,2026-07-08 18:45:00,prod_004,note_0001,acct_main_001,kol_coop,2,619.69,paid
order_000010,2026-07-08 19:00:00,prod_004,note_0001,acct_main_001,kol_coop,1,353.61,shipped
order_000011,2026-07-08 20:00:00,prod_004,note_0001,acct_main_001,kol_coop,2,705.69,shipped
order_000012,2026-07-08 08:45:00,prod_004,note_0001,acct_main_001,kol_coop,2,624.17,shipped
order_000013,2026-07-08 16:00:00,prod_004,note_0001,acct_main_001,kol_coop,1,330.68,shipped
order_000014,2026-07-08 20:00:00,prod_004,note_0001,acct_main_001,kol_coop,1,335.65,shipped
order_000015,2026-07-08 11:45:00,prod_004,note_0001,acct_main_001,kol_coop,1,334.59,paid
order_000016,2026-07-08 12:45:00,prod_004,note_0001,acct_main_001,kol_coop,1,349.98,shipped
order_000017,2026-07-08 14:45:00,prod_004,note_0001,acct_main_001,kol_coop,1,316.02,completed
order_000018,2026-07-08 09:00:00,prod_004,note_0001,acct_main_001,kol_coop,1,331.89,completed
order_000019,2026-07-08 18:00:00,prod_004,note_0001,acct_main_001,kol_coop,2,669.04,completed
order_000020,2026-07-08 14:30:00,prod_004,note_0001,acct_main_001,kol_coop,3,922.01,shipped
order_000021,2026-07-09 21:45:00,prod_004,note_0001,acct_main_001,kol_coop,2,686.04,shipped
order_000022,2026-07-09 10:00:00,prod_004,note_0001,acct_main_001,kol_coop,3,1046.8,completed
order_000023,2026-07-09 22:45:00,prod_004,note_0001,acct_main_001,kol_coop,2,646.24,paid
order_000024,2026-07-09 18:45:00,prod_004,note_0001,acct_main_001,kol_coop,3,945.23,shipped
order_000025,2026-07-09 12:00:00,prod_004,note_0001,acct_main_001,kol_coop,3,1055.75,completed
order_000026,2026-07-09 14:45:00,prod_004,note_0001,acct_main_001,kol_coop,2,629.23,completed
order_000027,2026-07-09 17:45:00,prod_004,note_0001,acct_main_001,kol_coop,3,991.49,shipped
order_000028,2026-07-09 19:30:00,prod_004,note_0001,acct_main_001,kol_coop,2,619.2,paid
order_000029,2026-07-09 22:45:00,prod_004,note_0001,acct_main_001,kol_coop,3,1013.93,completed
order_000030,2026-07-09 20:45:00,prod_004,note_0001,acct_main_001,kol_coop,1,320.54,shipped
order_000031,2026-07-09 18:15:00,prod_004,note_0001,acct_main_001,kol_coop,2,606.68,paid
order_000032,2026-07-09 10:15:00,prod_004,note_0001,acct_main_001,kol_coop,1,343.74,shipped
order_000033,2026-07-09 14:00:00,prod_004,note_0001,acct_main_001,kol_coop,2,647.94,shipped
order_000034,2026-07-09 15:45:00,prod_004,note_0001,acct_main_001,kol_coop,1,325.17,completed
order_000035,2026-07-09 10:00:00,prod_004,note_0001,acct_main_001,kol_coop,2,678.0,paid
order_000036,2026-07-09 10:30:00,prod_004,note_0001,acct_main_001,kol_coop,3,1057.84,shipped
order_000037,2026-07-09 11:45:00,prod_004,note_0001,acct_main_001,kol_coop,1,350.75,completed
order_000038,2026-07-09 20:45:00,prod_004,note_0001,acct_main_001,kol_coop,1,336.91,completed
order_000039,2026-07-09 19:30:00,prod_004,note_0001,acct_main_001,kol_coop,2,641.18,completed
order_000040,2026-07-09 21:00:00,prod_004,note_0001,acct_main_001,kol_coop,1,336.7,shipped
order_000041,2026-07-09 16:00:00,prod_004,note_0001,acct_main_001,kol_coop,2,690.02,completed
order_000042,2026-07-09 17:45:00,prod_004,note_0001,acct_main_001,kol_coop,3,954.37,completed
order_000043,2026-07-09 13:15:00,prod_004,note_0001,acct_main_001,kol_coop,3,951.25,paid
order_000044,2026-07-09 18:00:00,prod_004,note_0001,acct_main_001,kol_coop,2,705.01,completed
order_000045,2026-07-09 13:30:00,prod_004,note_0001,acct_main_001,kol_coop,1,341.15,paid
order_000046,2026-07-09 15:00:00,prod_004,note_0001,acct_main_001,kol_coop,1,340.83,shipped
order_000047,2026-07-09 10:45:00,prod_004,note_0001,acct_main_001,kol_coop,2,704.66,paid
order_000048,2026-07-09 12:45:00,prod_004,note_0001,acct_main_001,kol_coop,3,943.32,paid
order_000049,2026-07-09 18:30:00,prod_004,note_0001,acct_main_001,kol_coop,3,999.23,shipped
order_000050,2026-07-09 09:15:00,prod_004,note_0001,acct_main_001,kol_coop,3,937.2,paid
order_000051,2026-07-09 22:45:00,prod_004,note_0001,acct_main_001,kol_coop,2,633.78,completed
order_000052,2026-07-09 15:00:00,prod_004,note_0001,acct_main_001,kol_coop,1,338.58,paid
order_000053,2026-07-09 14:45:00,prod_004,note_0001,acct_main_001,kol_coop,3,1043.92,shipped
order_000054,2026-07-09 12:30:00,prod_004,note_0001,acct_main_001,kol_coop,2,639.38,paid
order_000055,2026-07-09 08:30:00,prod_004,note_0001,acct_main_001,kol_coop,2,608.52,paid
order_000056,2026-07-09 18:45:00,prod_004,note_0001,acct_main_001,kol_coop,1,337.18,completed
order_000057,2026-07-09 18:15:00,prod_004,note_0001,acct_main_001,kol_coop,3,1031.98,shipped
order_000058,2026-07-09 09:15:00,prod_004,note_0001,acct_main_001,kol_coop,2,663.89,completed
order_000059,2026-07-09 08:30:00,prod_004,note_0001,acct_main_001,kol_coop,1,301.89,completed
order_000060,2026-07-09 10:00:00,prod_004,note_0001,acct_main_001,kol_coop,2,690.99,shipped
order_000061,2026-07-09 17:15:00,prod_004,note_0001,acct_main_001,kol_coop,3,919.62,completed
order_000062,2026-07-09 22:15:00,prod_004,note_0001,acct_main_001,kol_coop,1,321.22,completed
order_000063,2026-07-09 11:30:00,prod_004,note_0001,acct_main_001,kol_coop,2,675.15,paid
